date,rain
01/07/2013,0.2
02/07/2013,3.0
03/07/2013,1.4
04/07/2013,0.0
05/07/2013,0.0
06/07/2013,0.0
07/07/2013,0.0
08/07/2013,0.0
09/07/2013,0.0
10/07/2013,0.0
11/07/2013,0.0
12/07/2013,0.0
13/07/2013,0.0
14/07/2013,0.0
15/07/2013,0.0
16/07/2013,0.0
17/07/2013,0.0
18/07/2013,0.0
19/07/2013,0.0
20/07/2013,0.0
21/07/2013,0.0
22/07/2013,0.0
23/07/2013,8.6
24/07/2013,0.0
25/07/2013,0.4
26/07/2013,0.0
27/07/2013,11.2
28/07/2013,15.6
29/07/2013,5.8
30/07/2013,0.2
31/07/2013,3.4
01/08/2013,0.0
02/08/2013,8.6
03/08/2013,8.8
04/08/2013,0.8
05/08/2013,10.8
06/08/2013,0.0
07/08/2013,0.0
08/08/2013,0.4
09/08/2013,0.4
10/08/2013,0.0
11/08/2013,0.2
12/08/2013,3.0
13/08/2013,0.0
14/08/2013,0.2
15/08/2013,2.6
16/08/2013,3.6
17/08/2013,5.4
18/08/2013,0.2
19/08/2013,0.0
20/08/2013,0.0
21/08/2013,0.0
22/08/2013,1.8
23/08/2013,7.4
24/08/2013,20.8
25/08/2013,0.4
26/08/2013,0.0
27/08/2013,0.2
28/08/2013,0.0
29/08/2013,0.0
30/08/2013,0.0
31/08/2013,0.0
01/09/2013,0.0
02/09/2013,0.0
03/09/2013,0.0
04/09/2013,0.0
05/09/2013,0.0
06/09/2013,18.0
07/09/2013,0.0
08/09/2013,0.2
09/09/2013,0.8
10/09/2013,0.0
11/09/2013,2.8
12/09/2013,2.0
13/09/2013,2.6
14/09/2013,0.0
15/09/2013,0.6
16/09/2013,2.8
17/09/2013,0.4
18/09/2013,0.2
19/09/2013,1.0
20/09/2013,0.0
21/09/2013,0.0
22/09/2013,0.0
23/09/2013,0.2
24/09/2013,0.0
25/09/2013,0.0
26/09/2013,0.0
27/09/2013,0.0
28/09/2013,0.0
29/09/2013,0.0
30/09/2013,0.0
01/10/2013,0.0
02/10/2013,13.6
03/10/2013,6.2
04/10/2013,0.2
05/10/2013,0.2
06/10/2013,0.0
07/10/2013,0.0
08/10/2013,0.0
09/10/2013,0.6
10/10/2013,0.4
11/10/2013,0.6
12/10/2013,0.2
13/10/2013,2.8
14/10/2013,14.4
15/10/2013,0.2
16/10/2013,8.0
17/10/2013,0.2
18/10/2013,0.2
19/10/2013,2.0
20/10/2013,2.6
21/10/2013,7.0
22/10/2013,8.4
23/10/2013,2.8
24/10/2013,0.2
25/10/2013,6.8
26/10/2013,0.8
27/10/2013,0.8
28/10/2013,8.6
29/10/2013,1.0
30/10/2013,0.2
31/10/2013,0.2
01/11/2013,6.6
02/11/2013,5.4
03/11/2013,3.0
04/11/2013,0.2
05/11/2013,3.4
06/11/2013,3.4
07/11/2013,0.4
08/11/2013,0.2
09/11/2013,2.2
10/11/2013,0.0
11/11/2013,1.0
12/11/2013,0.4
13/11/2013,0.2
14/11/2013,1.0
15/11/2013,0.0
16/11/2013,0.0
17/11/2013,0.0
18/11/2013,1.8
19/11/2013,0.0
20/11/2013,7.0
21/11/2013,8.6
22/11/2013,0.2
23/11/2013,0.2
24/11/2013,0.0
25/11/2013,0.0
26/11/2013,0.4
27/11/2013,0.0
28/11/2013,0.0
29/11/2013,0.0
30/11/2013,0.0
01/12/2013,0.0
02/12/2013,0.0
03/12/2013,0.0
04/12/2013,0.0
05/12/2013,2.6
06/12/2013,0.8
07/12/2013,2.0
08/12/2013,0.2
09/12/2013,0.0
10/12/2013,0.0
11/12/2013,0.2
12/12/2013,0.6
13/12/2013,7.4
14/12/2013,0.4
15/12/2013,0.2
16/12/2013,3.6
17/12/2013,0.0
18/12/2013,1.0
19/12/2013,4.0
20/12/2013,0.6
21/12/2013,1.8
22/12/2013,1.6
23/12/2013,3.8
24/12/2013,4.0
25/12/2013,2.4
26/12/2013,2.8
27/12/2013,2.8
28/12/2013,0.2
29/12/2013,0.0
30/12/2013,1.0
31/12/2013,1.0
01/01/2014,2.4
02/01/2014,3.6
03/01/2014,1.8
04/01/2014,2.0
05/01/2014,1.4
06/01/2014,1.8
07/01/2014,1.2
08/01/2014,10.8
09/01/2014,6.0
10/01/2014,0.2
11/01/2014,0.0
12/01/2014,5.0
13/01/2014,0.2
14/01/2014,1.4
15/01/2014,6.4
16/01/2014,3.2
17/01/2014,0.2
18/01/2014,1.4
19/01/2014,2.4
20/01/2014,0.2
21/01/2014,4.0
22/01/2014,2.4
23/01/2014,2.2
24/01/2014,5.6
25/01/2014,4.0
26/01/2014,8.2
27/01/2014,0.0
28/01/2014,4.0
29/01/2014,1.8
30/01/2014,0.0
31/01/2014,6.2
01/02/2014,0.0
02/02/2014,0.0
03/02/2014,0.0
04/02/2014,1.2
05/02/2014,7.999997
06/02/2014,7.999997
07/02/2014,0.4
08/02/2014,3.400001
09/02/2014,3.800001
10/02/2014,0.2
11/02/2014,4.6
12/02/2014,8.799996
13/02/2014,0.2
14/02/2014,5.399999
15/02/2014,5.0
16/02/2014,0.0
17/02/2014,0.2
18/02/2014,0.2
19/02/2014,0.2
20/02/2014,1.6
21/02/2014,2.4
22/02/2014,0.0
23/02/2014,0.0
24/02/2014,0.0
25/02/2014,0.2
26/02/2014,0.0
27/02/2014,5.0
28/02/2014,0.0
01/03/2014,0.2
02/03/2014,6.399998
03/03/2014,0.2
04/03/2014,0.0
05/03/2014,0.2
06/03/2014,1.0
07/03/2014,2.2
08/03/2014,0.0
09/03/2014,0.0
10/03/2014,0.0
11/03/2014,0.2
12/03/2014,0.0
13/03/2014,0.2
14/03/2014,0.0
15/03/2014,0.0
16/03/2014,0.0
17/03/2014,0.0
18/03/2014,1.4
19/03/2014,0.0
20/03/2014,2.0
21/03/2014,1.4
22/03/2014,2.8
23/03/2014,2.0
24/03/2014,0.2
25/03/2014,2.4
26/03/2014,1.4
27/03/2014,1.4
28/03/2014,9.999995
29/03/2014,0.0
30/03/2014,0.0
31/03/2014,0.2
01/04/2014,5.399999
02/04/2014,0.2
03/04/2014,0.0
04/04/2014,0.6
05/04/2014,0.0
06/04/2014,4.6
07/04/2014,4.2
08/04/2014,0.4
09/04/2014,0.0
10/04/2014,0.0
11/04/2014,0.0
12/04/2014,0.4
13/04/2014,0.2
14/04/2014,0.0
15/04/2014,0.0
16/04/2014,0.0
17/04/2014,0.0
18/04/2014,0.0
19/04/2014,0.0
20/04/2014,0.0
21/04/2014,0.8
22/04/2014,5.399999
23/04/2014,1.8
24/04/2014,2.4
25/04/2014,3.0
26/04/2014,2.0
27/04/2014,0.2
28/04/2014,0.0
29/04/2014,0.0
30/04/2014,3.0
01/05/2014,0.0
02/05/2014,0.0
03/05/2014,0.2
04/05/2014,0.0
05/05/2014,3.800001
06/05/2014,4.0
07/05/2014,0.8
08/05/2014,3.600001
09/05/2014,5.0
10/05/2014,10.79999
11/05/2014,1.4
12/05/2014,2.6
13/05/2014,6.199998
14/05/2014,0.0
15/05/2014,0.0
16/05/2014,0.0
17/05/2014,0.0
18/05/2014,0.0
19/05/2014,0.0
20/05/2014,0.0
21/05/2014,0.0
22/05/2014,15.79999
23/05/2014,9.199996
24/05/2014,10.59999
25/05/2014,2.0
26/05/2014,0.6
27/05/2014,1.4
28/05/2014,11.79999
29/05/2014,3.600001
30/05/2014,0.0
31/05/2014,0.0
01/06/2014,0.0
02/06/2014,11.59999
03/06/2014,3.200001
04/06/2014,13.59999
05/06/2014,1.0
06/06/2014,0.0
07/06/2014,8.599997
08/06/2014,0.6
09/06/2014,9.599996
10/06/2014,2.8
11/06/2014,0.0
12/06/2014,0.0
13/06/2014,1.6
14/06/2014,0.6
15/06/2014,0.0
16/06/2014,0.0
17/06/2014,0.0
18/06/2014,0.0
19/06/2014,0.0
20/06/2014,0.0
21/06/2014,0.0
22/06/2014,0.0
23/06/2014,0.4
24/06/2014,0.0
25/06/2014,0.0
26/06/2014,0.0
27/06/2014,5.599999
28/06/2014,5.799999
29/06/2014,0.4
30/06/2014,0.0
01/07/2014,0.0
02/07/2014,0.0
03/07/2014,0.0
04/07/2014,2.4
05/07/2014,7.599997
06/07/2014,0.0
07/07/2014,0.2
08/07/2014,14.39999
09/07/2014,0.0
10/07/2014,0.0
11/07/2014,0.0
12/07/2014,1.6
13/07/2014,20.0
14/07/2014,0.0
15/07/2014,0.0
16/07/2014,0.2
17/07/2014,0.0
18/07/2014,1.0
19/07/2014,6.999998
20/07/2014,0.0
21/07/2014,0.0
22/07/2014,0.0
23/07/2014,0.0
24/07/2014,0.0
25/07/2014,0.0
26/07/2014,0.0
27/07/2014,3.400001
28/07/2014,0.2
29/07/2014,0.0
30/07/2014,0.0
31/07/2014,0.0
01/08/2014,2.2
02/08/2014,0.6
03/08/2014,0.0
04/08/2014,0.0
05/08/2014,0.0
06/08/2014,7.799997
07/08/2014,0.0
08/08/2014,83.19987
09/08/2014,0.0
10/08/2014,31.00005
11/08/2014,0.2
12/08/2014,1.6
13/08/2014,1.4
14/08/2014,0.6
15/08/2014,1.4
